clave_letra,entidad,gasto_pond,entidad_int,estado,categoria
A,1,6217802000.0,1,Aguascalientes,Alimentos y bebidas
A,2,19218604000.0,2,Baja California,Alimentos y bebidas
A,3,4374836700.0,3,Baja California Sur,Alimentos y bebidas
A,4,3559797200.0,4,Campeche,Alimentos y bebidas
A,5,13283104000.0,5,Coahuila de Zaragoza,Alimentos y bebidas
A,6,4412338700.0,6,Colima,Alimentos y bebidas
A,7,16892951000.0,7,Chiapas,Alimentos y bebidas
A,8,15639556000.0,8,Chihuahua,Alimentos y bebidas
A,9,66716377000.0,9,Ciudad de México,Alimentos y bebidas
A,10,6594087000.0,10,Durango,Alimentos y bebidas
A,11,24500636000.0,11,Guanajuato,Alimentos y bebidas
A,12,13280224000.0,12,Guerrero,Alimentos y bebidas
A,13,11319441000.0,13,Hidalgo,Alimentos y bebidas
A,14,42487070000.0,14,Jalisco,Alimentos y bebidas
A,15,81307370000.0,15,México,Alimentos y bebidas
A,16,21502388000.0,16,Michoacán de Ocampo,Alimentos y bebidas
A,17,9028225000.0,17,Morelos,Alimentos y bebidas
A,18,5980622000.0,18,Nayarit,Alimentos y bebidas
A,19,27617266000.0,19,Nuevo León,Alimentos y bebidas
A,20,13963114000.0,20,Oaxaca,Alimentos y bebidas
A,21,23685140000.0,21,Puebla,Alimentos y bebidas
A,22,11966414000.0,22,Querétaro,Alimentos y bebidas
A,23,10432837000.0,23,Quintana Roo,Alimentos y bebidas
A,24,10772060000.0,24,San Luis Potosí,Alimentos y bebidas
A,25,12927556000.0,25,Sinaloa,Alimentos y bebidas
A,26,12364016000.0,26,Sonora,Alimentos y bebidas
A,27,9404174000.0,27,Tabasco,Alimentos y bebidas
A,28,14803159000.0,28,Tamaulipas,Alimentos y bebidas
A,29,4668728000.0,29,Tlaxcala,Alimentos y bebidas
A,30,29062320000.0,30,Veracruz de Ignacio de la Llave,Alimentos y bebidas
A,31,10532414000.0,31,Yucatán,Alimentos y bebidas
A,32,6061228000.0,32,Zacatecas,Alimentos y bebidas
B,1,1493267.2,1,Aguascalientes,Transporte urbano
B,2,2629649.2,2,Baja California,Transporte urbano
B,3,0.0,3,Baja California Sur,Transporte urbano
B,4,1869774.0,4,Campeche,Transporte urbano
B,5,1422239.4,5,Coahuila de Zaragoza,Transporte urbano
B,6,401263.0,6,Colima,Transporte urbano
B,7,1516869.4,7,Chiapas,Transporte urbano
B,8,200816.4,8,Chihuahua,Transporte urbano
B,9,6684.5996,9,Ciudad de México,Transporte urbano
B,10,268943.2,10,Durango,Transporte urbano
B,11,2965925.8,11,Guanajuato,Transporte urbano
B,12,43957.82,12,Guerrero,Transporte urbano
B,13,548865.4,13,Hidalgo,Transporte urbano
B,14,15380908.0,14,Jalisco,Transporte urbano
B,15,10619713.0,15,México,Transporte urbano
B,16,491782.5,16,Michoacán de Ocampo,Transporte urbano
B,17,1377534.8,17,Morelos,Transporte urbano
B,18,3585276.5,18,Nayarit,Transporte urbano
B,19,3589632.0,19,Nuevo León,Transporte urbano
B,20,327483.03,20,Oaxaca,Transporte urbano
B,21,43465760.0,21,Puebla,Transporte urbano
B,22,4361646.5,22,Querétaro,Transporte urbano
B,23,168426.69,23,Quintana Roo,Transporte urbano
B,24,3388150.5,24,San Luis Potosí,Transporte urbano
B,25,3944497.8,25,Sinaloa,Transporte urbano
B,26,8225671.5,26,Sonora,Transporte urbano
B,27,586793.5,27,Tabasco,Transporte urbano
B,28,9143077.0,28,Tamaulipas,Transporte urbano
B,29,663423.8,29,Tlaxcala,Transporte urbano
B,30,0.0,30,Veracruz de Ignacio de la Llave,Transporte urbano
B,31,1160518.8,31,Yucatán,Transporte urbano
B,32,840612.4,32,Zacatecas,Transporte urbano
C,1,884849500.0,1,Aguascalientes,Limpieza del hogar
C,2,2629144600.0,2,Baja California,Limpieza del hogar
C,3,564394600.0,3,Baja California Sur,Limpieza del hogar
C,4,495107900.0,4,Campeche,Limpieza del hogar
C,5,2200877300.0,5,Coahuila de Zaragoza,Limpieza del hogar
C,6,469006340.0,6,Colima,Limpieza del hogar
C,7,2028475400.0,7,Chiapas,Limpieza del hogar
C,8,2056668900.0,8,Chihuahua,Limpieza del hogar
C,9,8503172000.0,9,Ciudad de México,Limpieza del hogar
C,10,896610600.0,10,Durango,Limpieza del hogar
C,11,3172272000.0,11,Guanajuato,Limpieza del hogar
C,12,1563286300.0,12,Guerrero,Limpieza del hogar
C,13,1339268200.0,13,Hidalgo,Limpieza del hogar
C,14,4309191700.0,14,Jalisco,Limpieza del hogar
C,15,7433577500.0,15,México,Limpieza del hogar
C,16,2543658500.0,16,Michoacán de Ocampo,Limpieza del hogar
C,17,1102821800.0,17,Morelos,Limpieza del hogar
C,18,674472300.0,18,Nayarit,Limpieza del hogar
C,19,4212137200.0,19,Nuevo León,Limpieza del hogar
C,20,1578434300.0,20,Oaxaca,Limpieza del hogar
C,21,2816045000.0,21,Puebla,Limpieza del hogar
C,22,1621972200.0,22,Querétaro,Limpieza del hogar
C,23,1259998800.0,23,Quintana Roo,Limpieza del hogar
C,24,1501085300.0,24,San Luis Potosí,Limpieza del hogar
C,25,1630912000.0,25,Sinaloa,Limpieza del hogar
C,26,1769597000.0,26,Sonora,Limpieza del hogar
C,27,1113156200.0,27,Tabasco,Limpieza del hogar
C,28,2153185000.0,28,Tamaulipas,Limpieza del hogar
C,29,534038850.0,29,Tlaxcala,Limpieza del hogar
C,30,4003647500.0,30,Veracruz de Ignacio de la Llave,Limpieza del hogar
C,31,1286120700.0,31,Yucatán,Limpieza del hogar
C,32,774253200.0,32,Zacatecas,Limpieza del hogar
D,1,1063308600.0,1,Aguascalientes,Cuidado personal
D,2,3849473800.0,2,Baja California,Cuidado personal
D,3,749638500.0,3,Baja California Sur,Cuidado personal
D,4,614069800.0,4,Campeche,Cuidado personal
D,5,3036691000.0,5,Coahuila de Zaragoza,Cuidado personal
D,6,569073200.0,6,Colima,Cuidado personal
D,7,2461820400.0,7,Chiapas,Cuidado personal
D,8,2999869400.0,8,Chihuahua,Cuidado personal
D,9,8065109500.0,9,Ciudad de México,Cuidado personal
D,10,1203712600.0,10,Durango,Cuidado personal
D,11,3893988600.0,11,Guanajuato,Cuidado personal
