entidad,gasto_pond,estado
15,162988900000.0,México
9,158536990000.0,Ciudad de México
14,102003150000.0,Jalisco
19,79787890000.0,Nuevo León
30,68160426000.0,Veracruz de Ignacio de la Llave
11,56547545000.0,Guanajuato
2,55964185000.0,Baja California
21,55727930000.0,Puebla
16,53545222000.0,Michoacán de Ocampo
8,44812650000.0,Chihuahua
28,40213656000.0,Tamaulipas
5,38286490000.0,Coahuila de Zaragoza
26,36987015000.0,Sonora
25,35544703000.0,Sinaloa
7,34130651000.0,Chiapas
22,31170089000.0,Querétaro
20,29362057000.0,Oaxaca
12,28330674000.0,Guerrero
24,27983817000.0,San Luis Potosí
13,27983740000.0,Hidalgo
23,24780665000.0,Quintana Roo
31,23952996000.0,Yucatán
17,20253583000.0,Morelos
27,19673936000.0,Tabasco
10,16986543000.0,Durango
1,16975708000.0,Aguascalientes
32,15001894000.0,Zacatecas
18,13852202000.0,Nayarit
3,12376570000.0,Baja California Sur
29,10341476000.0,Tlaxcala
6,9951157000.0,Colima
4,8817641000.0,Campeche
