estado,gini
Tlaxcala,0.3887753054913219
Sinaloa,0.4282106157791552
Tabasco,0.4426929033640673
Baja California,0.45237243155946405
Tamaulipas,0.4536067199255862
Zacatecas,0.4538395842353812
Nayarit,0.45388660039493933
Jalisco,0.45417144229525386
Chiapas,0.4599738921070369
Hidalgo,0.4599806000209422
Baja California Sur,0.4693869674889086
Durango,0.47234584708195815
Michoacán de Ocampo,0.4822855644062478
Quintana Roo,0.48321095961896865
Morelos,0.48457196615564535
México,0.4862987795342375
Sonora,0.48632412969328975
Querétaro,0.5009466130626696
San Luis Potosí,0.5021609371277096
Nuevo León,0.5064046446467431
Campeche,0.5071476337844056
Ciudad de México,0.5086243218170433
Puebla,0.5102427733905227
Aguascalientes,0.5124776233456596
Guanajuato,0.5128729840240414
Colima,0.5145675043952957
Oaxaca,0.517326695654996
Yucatán,0.5234141718240592
Guerrero,0.525938867313829
Veracruz de Ignacio de la Llave,0.5317737214645526
Chihuahua,0.5336677711844271
Coahuila de Zaragoza,0.6201978151890908
