lugar_compra,gasto_pond
Supermercado o tienda de autoservicio,850000000000.0
Internet,420000000000.0
Mercado público,390000000000.0
Centro comercial,360000000000.0
Tienda de abarrotes,310000000000.0
Restaurante o puesto de comida,290000000000.0
Tianguis o mercado sobre ruedas,195000000000.0
Tienda departamental,185000000000.0
Tienda de conveniencia,175000000000.0
Farmacia,160000000000.0
Directamente del productor,145000000000.0
Tienda de ropa o calzado,140000000000.0
Vendedor ambulante,90000000000.0
Consultorio médico,85000000000.0
Catálogo o televisión,75000000000.0
Escuela o centro educativo,60000000000.0
Otro,70000000000.0
